Accident ID,road category,traffic regime,total number of traffic lanes,existence of reserved lanes,plan layout,surface condition,development - infrastructure,situation of the accident,maximum authorized speed at the scene and at the time of the accident
2.019E+11,1,3,10,0,2,1,2,1,70
2.019E+11,1,1,2,0,2,1,0,1,70
2.019E+11,1,3,8,0,3,1,0,1,90
2.019E+11,1,3,5,0,1,1,0,1,90
2.019E+11,1,1,3,0,3,1,2,1,90
2.019E+11,4,2,2,0,1,2,0,1,30
2.019E+11,4,2,2,0,1,1,0,2,50
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,3,1,4,0,1,1,0,1,90
2.019E+11,7,2,4,0,1,1,0,1,50
2.019E+11,4,2,3,0,1,1,0,1,50
2.019E+11,1,3,6,0,2,2,0,1,90
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,2,2,2,0,1,1,9,1,50
2.019E+11,4,1,1,1,1,1,0,1,50
2.019E+11,4,1,1,0,1,1,0,1,50
2.019E+11,4,1,1,0,1,1,0,1,30
2.019E+11,7,1,5,3,1,2,9,1,50
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,2,7,0,1,1,2,1,50
2.019E+11,3,2,2,0,2,1,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,50
2.019E+11,4,2,0,0,1,1,1,1,30
2.019E+11,7,2,1,0,1,2,0,1,50
2.019E+11,4,,2,0,1,2,0,1,50
2.019E+11,2,3,4,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,,1,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,3,2,4,0,1,2,5,1,50
2.019E+11,3,2,4,0,1,2,0,1,70
2.019E+11,4,2,2,0,1,2,9,1,50
2.019E+11,3,2,2,0,2,2,0,1,80
2.019E+11,4,2,3,2,1,1,0,1,50
2.019E+11,3,2,2,0,1,2,0,1,80
2.019E+11,3,3,6,0,1,2,5,4,50
2.019E+11,4,3,5,2,1,2,4,6,50
2.019E+11,4,2,2,0,1,1,0,1,30
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,3,2,2,0,1,1,0,1,70
2.019E+11,4,,2,0,2,2,0,1,30
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,2,3,1,1,1,0,1,50
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,4,1,4,0,1,2,0,1,50
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,2,3,0,1,1,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,60
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,1,2,0,2,1,0,1,50
2.019E+11,3,2,2,0,3,2,0,1,50
2.019E+11,4,2,2,0,1,1,6,1,50
2.019E+11,2,3,4,0,1,1,0,1,90
2.019E+11,6,,,0,1,1,1,6,10
2.019E+11,4,2,4,2,1,1,0,1,50
2.019E+11,4,2,1,0,1,1,0,1,50
2.019E+11,4,2,7,2,1,1,5,1,50
2.019E+11,4,1,2,1,1,2,0,1,50
2.019E+11,4,2,4,0,1,1,0,1,50
2.019E+11,4,2,4,2,1,1,0,1,50
2.019E+11,4,3,8,,1,2,0,8,50
2.019E+11,4,3,10,,3,2,0,1,70
2.019E+11,4,2,2,0,1,2,0,1,50
2.019E+11,4,3,6,0,1,2,0,1,50
2.019E+11,3,2,2,0,1,2,0,1,50
2.019E+11,4,2,2,0,1,1,0,1,50
2.019E+11,2,1,2,0,3,2,9,1,110
2.019E+11,4,2,2,0,1,2,0,1,30
