,Accident ID,road category,traffic regime,total number of traffic lanes,existence of reserved lanes,plan layout,surface condition,development - infrastructure,situation of the accident,maximum authorized speed at the scene and at the time of the accident
0,201900000001,1.0,3.0,10.0,0.0,2.0,1.0,2.0,1.0,70.0
1,201900000002,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,70.0
2,201900000003,1.0,3.0,8.0,0.0,3.0,1.0,0.0,1.0,90.0
3,201900000004,1.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,90.0
4,201900000005,1.0,1.0,3.0,0.0,3.0,1.0,2.0,1.0,90.0
5,201900000006,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,30.0
6,201900000007,4.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,50.0
7,201900000008,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
8,201900000009,3.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,90.0
9,201900000010,7.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,50.0
10,201900000011,4.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,50.0
11,201900000012,1.0,3.0,6.0,0.0,2.0,2.0,0.0,1.0,90.0
12,201900000013,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
13,201900000014,2.0,2.0,2.0,0.0,1.0,1.0,9.0,1.0,50.0
14,201900000015,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.0
15,201900000016,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0
16,201900000017,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,30.0
17,201900000018,7.0,1.0,5.0,3.0,1.0,2.0,9.0,1.0,50.0
18,201900000019,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
19,201900000020,4.0,2.0,7.0,0.0,1.0,1.0,2.0,1.0,50.0
20,201900000021,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,50.0
21,201900000022,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
22,201900000023,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,30.0
23,201900000024,7.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,50.0
24,201900000025,4.0,,2.0,0.0,1.0,2.0,0.0,1.0,50.0
25,201900000026,2.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,50.0
26,201900000027,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
27,201900000028,4.0,,1.0,0.0,1.0,1.0,0.0,1.0,50.0
28,201900000029,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
29,201900000030,3.0,2.0,4.0,0.0,1.0,2.0,5.0,1.0,50.0
30,201900000031,3.0,2.0,4.0,0.0,1.0,2.0,0.0,1.0,70.0
31,201900000032,4.0,2.0,2.0,0.0,1.0,2.0,9.0,1.0,50.0
32,201900000033,3.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,80.0
33,201900000034,4.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,50.0
34,201900000035,3.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,80.0
35,201900000036,3.0,3.0,6.0,0.0,1.0,2.0,5.0,4.0,50.0
36,201900000037,4.0,3.0,5.0,2.0,1.0,2.0,4.0,6.0,50.0
37,201900000038,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,30.0
38,201900000039,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
39,201900000040,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
40,201900000041,4.0,,2.0,0.0,2.0,2.0,0.0,1.0,30.0
41,201900000042,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
42,201900000043,4.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,50.0
43,201900000044,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
44,201900000045,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
45,201900000046,4.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,50.0
46,201900000047,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
47,201900000048,4.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,50.0
48,201900000049,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,60.0
49,201900000050,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,50.0
50,201900000051,4.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,50.0
51,201900000052,3.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,50.0
52,201900000053,4.0,2.0,2.0,0.0,1.0,1.0,6.0,1.0,50.0
53,201900000054,2.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,90.0
