Num_Acc,id_vehicule,fixed_obstacle ,movable_obstacle,initial_shock,maneuver,motor,occupants_public_transport
201900000001,138 306 524,0,2,5,23,1,0.0
201900000001,138 306 525,1,0,3,11,1,0.0
201900000002,138 306 523,4,0,1,0,1,0.0
201900000003,138 306 520,0,2,1,2,1,0.0
201900000003,138 306 521,1,0,4,2,1,0.0
201900000003,138 306 522,0,2,4,23,6,0.0
201900000004,138 306 517,0,2,4,23,1,0.0
201900000004,138 306 518,0,2,4,23,1,0.0
201900000004,138 306 519,0,2,1,2,1,0.0
201900000005,138 306 515,0,2,4,23,1,0.0
201900000005,138 306 516,0,2,4,21,1,0.0
201900000006,138 306 513,0,2,1,1,1,0.0
201900000006,138 306 514,0,2,3,9,1,0.0
201900000007,138 306 509,14,0,1,2,1,0.0
201900000007,138 306 510,0,2,4,2,1,0.0
201900000008,138 306 508,1,0,2,1,1,0.0
201900000009,138 306 505,0,2,1,1,1,0.0
201900000009,138 306 506,0,2,4,1,1,0.0
201900000009,138 306 507,0,2,4,1,1,0.0
201900000010,138 306 503,0,2,4,1,1,0.0
201900000010,138 306 504,0,2,2,1,1,0.0
201900000011,138 306 502,0,1,3,1,1,0.0
201900000012,138 306 501,4,0,2,1,1,0.0
201900000013,138 306 500,0,0,0,26,1,0.0
201900000014,138 306 498,0,2,8,15,1,0.0
201900000014,138 306 499,0,2,5,17,1,0.0
201900000015,138 306 497,0,1,1,1,1,0.0
201900000016,138 306 496,0,1,5,4,1,0.0
201900000017,138 306 495,0,1,1,1,0,0.0
201900000018,138 306 493,0,2,3,0,0,0.0
201900000018,138 306 494,0,2,5,12,0,0.0
201900000019,138 306 491,0,2,6,15,1,0.0
201900000019,138 306 492,0,2,1,17,1,0.0
201900000020,138 306 490,0,1,2,23,1,1.0
201900000021,138 306 488,0,2,3,1,1,0.0
201900000021,138 306 489,0,2,3,1,1,0.0
201900000022,138 306 487,0,0,8,1,1,0.0
201900000023,138 306 485,0,2,3,1,1,0.0
201900000023,138 306 486,0,2,2,1,1,0.0
201900000024,138 306 483,0,2,0,0,3,0.0
201900000024,138 306 484,0,2,0,0,1,1.0
201900000025,138 306 482,0,1,3,1,1,0.0
201900000026,138 306 479,0,2,1,2,1,0.0
201900000026,138 306 480,0,2,4,2,1,0.0
201900000026,138 306 481,0,2,4,2,1,0.0
201900000027,138 306 478,0,1,2,1,0,0.0
201900000028,138 306 475,0,9,1,1,1,0.0
201900000029,138 306 473,0,2,2,16,1,0.0
201900000029,138 306 474,0,2,0,19,3,0.0
201900000030,138 306 471,0,2,2,1,1,0.0
201900000030,138 306 472,0,2,3,15,1,0.0
201900000031,138 306 470,0,1,1,21,1,0.0
201900000032,138 306 468,0,1,5,26,6,0.0
201900000032,138 306 469,9,2,3,21,6,0.0
201900000033,138 306 466,0,2,1,1,1,0.0
201900000033,138 306 467,0,2,2,13,1,0.0
201900000034,138 306 465,0,1,3,1,1,0.0
201900000035,138 306 464,0,0,0,1,1,0.0
201900000036,138 306 462,0,2,2,1,1,0.0
201900000036,138 306 463,0,2,1,1,1,0.0
201900000037,138 306 460,0,2,8,19,5,0.0
201900000037,138 306 461,0,2,0,1,3,0.0
201900000038,138 306 458,0,2,1,1,5,0.0
201900000038,138 306 459,0,2,1,15,1,0.0
201900000039,138 306 457,0,1,1,1,1,0.0
201900000040,138 306 456,6,0,1,1,1,0.0
201900000041,138 306 454,0,2,5,1,1,0.0
201900000041,138 306 455,0,2,1,9,1,0.0
201900000042,138 306 453,0,1,7,1,1,0.0
201900000043,138 306 449,0,2,8,15,1,0.0
201900000043,138 306 450,0,2,1,17,1,0.0
201900000044,138 306 448,0,2,2,1,1,0.0
201900000045,138 306 447,0,0,9,1,0,0.0
201900000046,138 306 445,0,1,3,1,1,0.0
201900000047,138 306 444,1,0,1,1,1,0.0
201900000048,138 306 443,0,1,0,1,1,0.0
201900000049,138 306 442,14,0,0,0,5,0.0
201900000050,138 306 439,0,2,4,23,1,0.0
201900000050,138 306 440,0,2,4,23,1,0.0
201900000050,138 306 441,0,2,1,2,1,0.0
201900000051,138 306 437,0,2,0,9,5,0.0
201900000051,138 306 438,0,2,0,9,1,0.0
201900000052,138 306 434,0,2,1,0,1,0.0
201900000052,138 306 435,0,2,1,0,1,0.0
201900000053,138 306 433,0,1,8,26,1,0.0
201900000054,138 306 431,0,2,1,2,1,0.0
201900000054,138 306 432,0,2,6,2,1,0.0
201900000055,138 306 429,0,2,0,0,1,0.0
201900000055,138 306 430,6,2,6,26,1,0.0
201900000056,138 306 428,0,1,1,1,1,0.0
201900000057,138 306 427,0,1,2,1,1,0.0
201900000058,138 306 425,0,2,0,0,1,0.0
201900000058,138 306 426,0,2,4,15,1,0.0
201900000059,138 306 423,0,2,1,1,1,0.0
201900000059,138 306 424,0,2,1,1,5,0.0
201900000060,138 306 421,0,2,4,1,5,0.0
201900000060,138 306 422,0,2,1,9,1,0.0
201900000061,138 306 419,0,2,1,1,1,0.0
201900000061,138 306 420,0,2,1,15,1,0.0
201900000062,138 306 417,0,2,0,16,1,0.0
201900000062,138 306 418,0,2,0,1,3,0.0
201900000063,138 306 416,4,0,9,26,1,0.0
